game_id,name,genres,developer,publisher,release_date,tags
220,Half-Life 2,Action,Valve,Valve,"16 Nov, 2004","FPS, Action, Sci-fi, Classic, Singleplayer, Story Rich, Shooter, First-Person, Adventure, Dystopian , Atmospheric, Zombies, Silent Protagonist, Physics, Aliens, Great Soundtrack, Horror, Multiplayer, Puzzle, Moddable"
320,Half-Life 2: Deathmatch,Action,Valve,Valve,"1 Nov, 2004","Action, FPS, Multiplayer, Shooter, First-Person, Sci-fi, Physics, Competitive, Funny, Co-op, Old School, PvP, Arena Shooter, Moddable, Atmospheric, Adventure, Great Soundtrack, Singleplayer, Violent, Mod"
360,Half-Life Deathmatch: Source,Action,Valve,Valve,"1 May, 2006","Action, FPS, Multiplayer, Shooter, Sci-fi, First-Person, Classic, Remake, Violent, Adventure, Competitive, Fast-Paced, Singleplayer, Atmospheric, Horror, Retro, Gore, Great Soundtrack, Arena Shooter"
4000,Garry's Mod,"Casual, Indie, Simulation",Facepunch Studios,Valve,"29 Nov, 2006","Sandbox, Moddable, Multiplayer, Physics, Building, Casual, Funny, First-Person, Singleplayer, FPS, Simulation, Comedy, Online Co-Op, Co-op, Shooter, Action, Indie, PvP, Realistic, Exploration"
400,Portal,Action,Valve,Valve,"10 Oct, 2007","Puzzle, Puzzle-Platformer, First-Person, 3D Platformer, Singleplayer, Sci-fi, Comedy, Female Protagonist, Physics, Funny, Action, Classic, Story Rich, Platformer, Science, Atmospheric, Dark Humor, Short, FPS, Adventure"
17410,Mirror's Edge™,"Action, Adventure",DICE,Electronic Arts,"14 Jan, 2009","Action-Adventure, Parkour, First-Person, Exploration, 3D Platformer, Female Protagonist, Singleplayer, Platformer, Puzzle, Cyberpunk, Action, Colorful, Dystopian , Stylized, Atmospheric, Sci-fi, Futuristic, Great Soundtrack, Adventure, Time Attack"
1250,Killing Floor,Action,Tripwire Interactive,Tripwire Interactive,"14 May, 2009","FPS, Zombies, Co-op, Survival, Horror, Multiplayer, Action, Online Co-Op, Violent, Gore, Shooter, Team-Based, First-Person, Survival Horror, Moddable, Bullet Time, Class-Based, 3D, Singleplayer, Dark Comedy"
35420,Defence Alliance 2,Action,Defence Alliance Team,Tripwire Interactive,"11 Dec, 2009","Action, Mod, FPS, Multiplayer, Co-op"
550,Left 4 Dead 2,Action,Valve,Valve,"16 Nov, 2009","Zombies, Co-op, FPS, Multiplayer, Shooter, Online Co-Op, Action, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical"
55100,Homefront,Action,"Kaos Studios, Digital Extremes",Deep Silver,"14 Mar, 2011","Action, FPS, Shooter, Multiplayer, Singleplayer, First-Person, Military, War, Atmospheric, Short, Open World, Violent, Story Rich, Gore, Co-op, Adventure, Alternate History, Survival, Linear, Realistic"
620,Portal 2,"Action, Adventure",Valve,Valve,"18 Apr, 2011","Platformer, Puzzle, First-Person, Dark Humor, Story Rich, Puzzle-Platformer, Funny, Female Protagonist, 3D Platformer, Action-Adventure, Action, FPS, Co-op, Physics, Sci-fi, Level Editor, Science, Comedy, Atmospheric, Adventure"
105600,Terraria,"Action, Adventure, Indie, RPG",Re-Logic,Re-Logic,"16 May, 2011","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting, Building, Exploration, Co-op, Open World, Online Co-Op, Indie, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric"
8980,Borderlands Game of the Year,"Action, RPG",Gearbox Software,2K,"31 Aug, 2023","Looter Shooter, FPS, Co-op, RPG, Action, Loot, Shooter, Online Co-Op, First-Person, Open World, Comedy, Multiplayer, Sci-fi, Post-apocalyptic, Singleplayer, Action RPG, Funny, Dark Humor, Adventure, Gore"
729040,Borderlands Game of the Year Enhanced,"Action, RPG","Gearbox Software, Blind Squirrel Games",2K,"31 Aug, 2023","FPS, Co-op, Shooter, First-Person, Loot, Online Co-Op, Action, RPG, Dark Humor, Looter Shooter, Comedy, Action RPG, Singleplayer, Gore, Multiplayer, Sci-fi, Funny, Atmospheric, Violent, Character Action Game"
67370,The Darkness II,Action,Digital Extremes,2K,"9 Feb, 2012","FPS, Action, Gore, Dark, Shooter, Singleplayer, Horror, Co-op, First-Person, Violent, Multiplayer, Atmospheric, Story Rich, Supernatural, Comic Book, Short, Adventure, Multiple Endings, Nudity, Funny"
204340,Serious Sam 2,"Action, Indie",Croteam,Devolver Digital,"31 Jan, 2012","Action, FPS, Co-op, Comedy, Multiplayer, Shooter, First-Person, Gore, Funny, Classic, Singleplayer, Adventure, Indie, Sci-fi, Online Co-Op, Colorful, Great Soundtrack, Atmospheric, Boomer Shooter, Difficult"
209080,Guns of Icarus Online,"Action, Adventure, Indie, Simulation",Muse Games,Muse Games,"29 Oct, 2012","Steampunk, Team-Based, Multiplayer, Co-op, Action, Tactical, Indie, Competitive, Simulation, Adventure, Flight, FPS, Online Co-Op, PvP, Strategy, First-Person, Shooter, Class-Based, Kickstarter, Massively Multiplayer"
9050,DOOM 3,Action,id Software,id Software,"3 Aug, 2007","Horror, Action, FPS, Sci-fi, Dark, First-Person, Gore, Singleplayer, Classic, Shooter, Demons, Atmospheric, Zombies, Survival Horror, Mars, Futuristic, Moddable, Multiplayer, Co-op, Violent"
9070,DOOM 3 Resurrection of Evil,Action,id Software,id Software,"3 Aug, 2007","Action, FPS, Horror, Sci-fi, Dark, Atmospheric, Shooter, Zombies, First-Person, Singleplayer, Survival Horror, Classic, Demons, Gore, Masterpiece"
208200,DOOM 3,Action,id Software,Bethesda Softworks,"18 Oct, 2012","FPS, Horror, Action, Shooter, Classic, Sci-fi, First-Person, Singleplayer, Gore, Demons, Multiplayer, Dark, Zombies, Mars, Atmospheric, Space, Survival Horror, Great Soundtrack, Survival, 3D Vision"
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,"Action, RPG",GSC Game World,GSC Game World,"20 Mar, 2007","Atmospheric, Post-apocalyptic, Open World, FPS, Survival, Action, Survival Horror, Shooter, RPG, Horror, First-Person, Singleplayer, Classic, Based On A Novel, Moddable, Adventure, Immersive, Sci-fi, Inventory Management, Difficult"
109600,Neverwinter,"Action, Adventure, Massively Multiplayer, RPG, Free To Play",Cryptic Studios,Arc Games,"5 Dec, 2013","Free to Play, MMORPG, RPG, Massively Multiplayer, Adventure, Multiplayer, Fantasy, Action, Open World, Character Customization, Dungeons & Dragons, Co-op, Dragons, PvP, Action RPG, PvE, Third Person, Hack and Slash, Atmospheric, Zombies"
200210,Realm of the Mad God Exalt,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play","Wild Shadow Studios, Deca Live Operations GmbH",Deca Live Operations GmbH,"20 Feb, 2012","Pixel Graphics, MMORPG, Free to Play, Rogue-like, Perma Death, Action Roguelike, Bullet Hell, Difficult, Rogue-lite, Indie, 2D, Massively Multiplayer, Action RPG, RPG, Action, Multiplayer, Adventure, Co-op, Online Co-Op, Fantasy"
230410,Warframe,"Action, RPG, Free To Play",Digital Extremes,Digital Extremes,"25 Mar, 2013","Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, PvE, Sci-fi, Singleplayer, Space, Shooter, Lore-Rich, Hack and Slash, Parkour, Ninja"
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free To Play",Gaijin Entertainment,Gaijin Network Ltd,"15 Aug, 2013","Free to Play, Simulation, Vehicular Combat, Combat, World War II, Flight, VR, War, Military, Tanks, Multiplayer, Naval Combat, Modern, Massively Multiplayer, Cold War, Realistic, Shooter, Action, Third Person, Third-Person Shooter"
